1    #UTIL: 781
5 0 4 0 5    #UTIL: 130
5 0 5    #UTIL: 341
5 0 5 0 1    #UTIL: 160
5 0 5 0 1 2    #UTIL: 240
5 0 5 0 2    #UTIL: 245
5 0 6    #UTIL: 102
5 0 6 0 1 0 4    #UTIL: 42
5 0 6 0 2    #UTIL: 224
5 0 6 0 2 1    #UTIL: 63
5 0 6 0 2 1 0 4    #UTIL: 72
5 0 6 0 2 3    #UTIL: 80
5 0 6 0 2 0 4    #UTIL: 57
5 0 6 0 3    #UTIL: 40
5 0 6 5    #UTIL: 42
5 0 6 5 0 2    #UTIL: 72
6 0 1    #UTIL: 60
6 0 1 4    #UTIL: 69
6 0 1 4 5    #UTIL: 75
6 0 1 5    #UTIL: 48
6 0 2    #UTIL: 154
6 0 2 1    #UTIL: 48
6 0 2 1 0 4    #UTIL: 57
6 0 2 3    #UTIL: 60
6 0 2 0 4    #UTIL: 42
6 0 4    #UTIL: 45
6 5 0 2    #UTIL: 57
7 0 1    #UTIL: 74
7 0 1 3    #UTIL: 93
7 0 4 0 2 1    #UTIL: 40
7 0 4 0 2 1 0 6    #UTIL: 44
7 0 4 0 2 0 6    #UTIL: 40
